OrderID,CustomerID,EmployeeID,OrderDate,ShipperID  
10248,1,5,2022-07-04,3  
10249,22,6,2022-07-05,1  
10250,1,4,2022-07-08,2  
10251,23,3,2022-07-08,1  
10252,11,4,2022-07-09,2  
10253,13,2,2022-07-10,3  
10254,2,4,2022-07-11,1  
10255,7,1,2022-07-12,2  
10256,20,5,2022-07-13,1  
10257,21,3,2022-07-14,2  
10258,11,4,2022-07-15,3  
10259,9,2,2022-07-16,1  
10260,8,6,2022-07-17,3  
10261,3,5,2022-07-18,1  
10262,4,2,2022-07-19,2  
10263,5,3,2022-07-20,1  
10264,6,4,2022-07-21,2  
10265,19,6,2022-07-22,3  
10266,13,5,2022-07-23,1  
10267,8,2,2022-07-24,3  
10268,12,1,2022-07-25,2
